0.015625 0.125 0.032813
0.046875 0.216506 0.0980943
0.078125 0.279508 0.162357
0.109375 0.330719 0.224971
0.140625 0.375 0.285378
0.171875 0.414578 0.343106
0.203125 0.450694 0.397785
0.234375 0.484123 0.449149
0.265625 0.515388 0.497034
0.296875 0.544862 0.54137
0.328125 0.572822 0.582168
0.359375 0.599479 0.619507
0.390625 0.625 0.65352
0.421875 0.649519 0.684379
0.453125 0.673146 0.712282
0.484375 0.695971 0.737441
0.515625 0.71807 0.760076
0.546875 0.73951 0.780405
0.578125 0.760345 0.798638
0.609375 0.780625 0.814979
0.640625 0.800391 0.829615
0.671875 0.81968 0.842722
0.703125 0.838525 0.854459
0.734375 0.856957 0.864974
0.765625 0.875 0.874398
0.796875 0.892679 0.882849
0.828125 0.910014 0.890434
0.859375 0.927025 0.897248
0.890625 0.943729 0.903375
0.921875 0.960143 0.908889
0.953125 0.976281 0.913858
0.984375 0.992157 0.918339
